ce,entidad,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,ranking2014,ranking2015,ranking2016,ranking2017,ranking2018,aportacion2014,aportacion2015,aportacion2016,aportacion2017,aportacion2018,pronostico2014,pronostico2015,pronostico2016,pronostico2017,pronostico2018,total2014,total2015,total2016,total2017,total2018
19,NUEVO LEÓN,,,,,193,30,,,,,34,,0,,,,,,,,,,,97,,,,12,,1,,85,,0,0,,,,,21,92,1,0,,,52,0,,0,,,150,24,26,30,28,,0.6,0,0,,,387,339,124,,,257,97,99,167,215
20,OAXACA,151,187,218,289,479,313,0,0,0,340,1003,787,194,269,265,333,460,218,0,0,,396,1067,623,233,234,241,303,473,196,0,0,,370,1051,1050,239,243,244,347,412,98,0,,,305,1230,959,217,293,298,299,6,6,6,5,,6.3,6.4,6.4,,,3834,4113,4147,,,3768,3826,4150,4078,4387
21,PUEBLA,11,11,11,217,102,95,128,142,210,346,710,386,8,7,8,165,230,36,14,25,382,589,923,141,6,6,7,258,183,8,8,8,191,396,787,336,,,62,237,171,31,,,105,806,749,276,,,124,256,8,8,8,8,,4.2,4,3.6,,,2559,2558,2318,,,2369,2528,2194,2435,2454
22,QUERÉTARO,,,,,11,88,7,,,4,,68,,,,8,4,90,,9,,,17,6,,,,,12,10,,1,4,,5,,,,,,5,,2,5,,38,,,,,,48,30,30,29,32,,0,0,0,,,159,164,137,,,177,135,31,50,114
23,QUINTANA ROO,150,330,473,510,441,129,103,54,233,289,254,385,203,365,257,551,722,129,83,64,254,330,233,288,273,458,420,296,191,96,,4,299,300,283,266,254,405,376,259,323,77,88,21,224,410,298,310,266,408,489,428,7,7,7,7,,5.8,5.2,6.1,,,3494,3361,3931,,,3351,3480,2885,3044,3208
24,SAN LUIS POTOSÍ,0,0,29,415,60,94,1,,9,173,96,20,,15,42,344,84,95,0,10,,216,212,39,,,3,260,314,107,,,37,152,151,61,,,24,333,225,100,,,30,151,71,102,,,1,342,16,16,13,14,,1.6,1.6,1.8,,,981,1045,1183,,,897,1058,1085,1037,1169
25,SINALOA,6,5,9,16,0,1,,49,,2,6,99,9,,0,16,0,,15,72,,,1,77,9,,0,10,,,57,61,7,9,41,,,,2,15,14,9,60,,5,1,28,,,,10,9,28,27,26,29,,0,0,0,,,262,294,282,,,194,192,194,134,190
26,SONORA,0,,,,,159,27,5,1,68,,172,,0,0,0,5,205,12,70,38,12,25,159,,,,6,45,27,147,91,3,154,44,66,,,,6,105,164,87,,,,105,73,,,13,1,21,20,21,20,,0.7,0.8,0.8,,,452,527,521,,,432,526,583,540,528
27,TABASCO,,,26,146,86,14,,,,,26,12,,,28,160,95,16,,,,,24,17,,,30,158,97,16,,,,,29,24,,,31,170,101,17,,,,,30,31,,,31,176,26,25,25,24,,0,0.6,0.6,,,324,356,359,,,310,341,353,381,391
28,TAMAULIPAS,1,1,1,235,7,34,31,37,21,244,20,4,,,,255,172,0,9,34,22,114,15,44,0,,,355,89,1,7,35,44,258,8,2,,,,327,42,,47,23,41,179,36,0,0,,10,293,18,18,17,17,,1.1,1,1.2,,,667,620,768,,,638,666,800,694,855
29,TLAXCALA,,,,,,,,,,775,444,,,,,,,,,,,535,551,2,,,,,,,,,,339,572,,,,,,,,,,,497,488,,,,,,14,14,14,15,,2,2,1.8,,,1217,1283,1141,,,1219,1088,911,985,1039
30,VERACRUZ,7,13,288,1366,519,832,153,23,274,321,258,71,9,23,417,1063,610,337,566,23,216,419,389,682,28,25,285,912,697,714,678,59,364,327,350,327,60,30,320,1010,742,695,495,28,415,369,404,135,34,58,347,1192,5,5,5,3,,7.1,7.4,7.5,,,4275,4738,4847,,,4124,4754,4766,4704,4842
31,YUCATÁN,478,1042,1625,1339,1963,1631,79,17,18,171,841,450,536,887,1357,2494,3198,1606,323,65,63,58,604,437,283,449,467,1981,1334,1321,219,310,202,186,118,621,153,361,244,499,381,1128,531,304,163,95,336,153,238,460,1021,1537,1,1,1,4,,16.2,18,18.7,,,9785,11601,12167,,,9654,11629,7490,4351,9744
32,ZACATECAS,1,,190,90,284,0,0,14,278,615,111,,1,,125,301,469,29,28,64,262,366,9,,2,,,514,349,20,0,0,520,469,53,,2,0,0,430,380,0,122,0,227,407,510,,,0,0,447,11,10,9,10,,2.9,3.2,3.4,,,1778,2051,2235,,,1582,1654,1929,2078,1810
