anio,mes,pais_de_origen_destino,dolares
2015,Junio,Suiza,1316041
2013,Febrero,Estados Unidos,1314510
2006,Julio,Reino Unido,1309723
2004,Diciembre,Alemania,1304928
2018,Junio,Suiza,1297536
2015,Enero,Estados Unidos,1295981
2008,Julio,Suiza,1295170
2008,Marzo,Arabia Saudita,1294628
2008,Agosto,Reino Unido,1292102
2005,Junio,Reino Unido,1290814
2016,Febrero,Alemania,1282247
2013,Octubre,Alemania,1277535
2003,Agosto,Alemania,1277233
2018,Marzo,Arabia Saudita,1272804
2011,Agosto,Estados Unidos,1265098
2015,Abril,Reino Unido,1264985
2011,Junio,Reino Unido,1264315
2012,Mayo,Reino Unido,1258872
2016,Abril,Alemania,1253535
2011,Abril,Bélgica,1250814
2016,Abril,Estados Unidos,1247982
2006,Junio,Arabia Saudita,1247932
2006,Mayo,Reino Unido,1246635
2004,Marzo,Reino Unido,1225454
2009,Julio,Bélgica,1220630
2011,Julio,Estados Unidos,1215951
2009,Mayo,Estados Unidos,1205706
2012,Junio,Reino Unido,1197923
2002,Agosto,Alemania,1184423
2018,Febrero,Arabia Saudita,1178464
2004,Noviembre,Estados Unidos,1178329
2003,Febrero,Estados Unidos,1177124
2013,Enero,Estados Unidos,1175527
2006,Junio,Reino Unido,1170177
2010,Junio,Reino Unido,1165283
2010,Mayo,Arabia Saudita,1165206
2010,Julio,Suiza,1160817
2013,Septiembre,Reino Unido,1159765
2013,Abril,Reino Unido,1148095
2014,Febrero,Estados Unidos,1147825
2002,Septiembre,Estados Unidos,1147396
2011,Abril,Reino Unido,1140161
2011,Septiembre,Reino Unido,1135042
2015,Agosto,Estados Unidos,1129924
2014,Marzo,Reino Unido,1125853
2008,Abril,Arabia Saudita,1118686
2014,Mayo,Reino Unido,1114830
2018,Junio,Bélgica,1112824
2010,Agosto,Reino Unido,1106316
2008,Marzo,Reino Unido,1102518
2017,Septiembre,Estados Unidos,1090880
2009,Septiembre,Reino Unido,1090180
2009,Junio,Arabia Saudita,1086791
2017,Febrero,Alemania,1077873
2005,Diciembre,Alemania,1077493
2015,Septiembre,Reino Unido,1076913
2016,Junio,Bélgica,1071378
2002,Diciembre,Estados Unidos,1068108
2018,Marzo,Reino Unido,1062228
2011,Marzo,Arabia Saudita,1059379
2009,Julio,Reino Unido,1057970
2003,Julio,Reino Unido,1054496
2014,Septiembre,Reino Unido,1048795
2010,Abril,Estados Unidos,1042520
2003,Septiembre,Estados Unidos,1041751
2015,Febrero,Estados Unidos,1037089
2008,Octubre,Alemania,1036776
2017,Junio,Arabia Saudita,1032750
2015,Junio,Bélgica,1031138
2017,Octubre,Estados Unidos,1030224
2011,Agosto,Reino Unido,1029332
2008,Septiembre,Alemania,1028822
2016,Agosto,Bélgica,1025973
2012,Abril,Estados Unidos,1024116
2007,Enero,Alemania,1021767
2003,Noviembre,Estados Unidos,1017214
2015,Marzo,Arabia Saudita,1014802
2002,Agosto,Estados Unidos,1014535
2005,Agosto,Alemania,1007070
2017,Julio,Arabia Saudita,1006160
2017,Julio,Bélgica,1005839
2013,Julio,Arabia Saudita,1004076
2013,Agosto,Reino Unido,1001575
2005,Marzo,Alemania,994396
2011,Noviembre,Alemania,988094
2015,Octubre,Alemania,985870
2013,Octubre,Estados Unidos,980380
2010,Abril,Arabia Saudita,976360
2016,Abril,Arabia Saudita,974916
2004,Octubre,Estados Unidos,973881
2005,Enero,Alemania,972036
2010,Agosto,Estados Unidos,965857
2009,Abril,Estados Unidos,962850
2002,Julio,Reino Unido,962558
2010,Abril,Reino Unido,960753
2009,Abril,Suiza,960480
2016,Mayo,Suiza,958742
2016,Octubre,Reino Unido,946379
2007,Febrero,Alemania,944561
2008,Mayo,Estados Unidos,939426
2007,Agosto,Reino Unido,938039
2014,Octubre,Bélgica,931928
2015,Octubre,Reino Unido,926240
2012,Septiembre,Reino Unido,923760
2014,Abril,Reino Unido,920904
2010,Mayo,Reino Unido,919972
2012,Mayo,Bélgica,917342
2002,Junio,Reino Unido,916463
2005,Mayo,Reino Unido,916419
2008,Julio,Arabia Saudita,909964
2006,Mayo,Suiza,907145
2012,Octubre,Estados Unidos,903509
2011,Mayo,Reino Unido,901812
2017,Octubre,Alemania,897179
2017,Noviembre,Alemania,896645
2007,Abril,Suiza,896464
2016,Julio,Suiza,888625
2004,Abril,Arabia Saudita,888087
2014,Agosto,Bélgica,887153
2012,Mayo,Arabia Saudita,886708
2008,Abril,Suiza,882883
2008,Marzo,Suiza,881088
2007,Abril,Arabia Saudita,880787
2006,Octubre,Alemania,876731
2002,Abril,Estados Unidos,872301
2003,Junio,Bélgica,870352
2014,Agosto,Reino Unido,870282
2011,Abril,Arabia Saudita,868503
2015,Febrero,Reino Unido,864648
2014,Diciembre,Bélgica,863963
2013,Septiembre,Alemania,863654
2018,Abril,Estados Unidos,862736
2015,Agosto,Arabia Saudita,854781
2006,Abril,Suiza,849762
2007,Septiembre,Alemania,844468
2014,Julio,Arabia Saudita,843820
2017,Junio,Reino Unido,841800
2017,Septiembre,Reino Unido,841693
2010,Octubre,Alemania,834089
2015,Diciembre,Reino Unido,830352
2015,Marzo,Estados Unidos,824737
2012,Septiembre,Alemania,818041
2015,Agosto,Suiza,816027
2015,Septiembre,Estados Unidos,810319
2015,Marzo,Suiza,807228
2017,Marzo,Reino Unido,807224
2007,Junio,Estados Unidos,805631
2012,Junio,Arabia Saudita,805533
2018,Agosto,Estados Unidos,805398
2018,Mayo,Países Bajos,796427
2011,Febrero,Suiza,794375
2018,Septiembre,Estados Unidos,791154
2006,Mayo,Estados Unidos,788407
2011,Junio,Francia,787500
2010,Junio,Arabia Saudita,783654
2006,Agosto,Reino Unido,781393
2008,Abril,Estados Unidos,777580
2013,Junio,Bélgica,776253
2011,Septiembre,Estados Unidos,776027
2015,Julio,España,771918
2003,Julio,Suiza,771634
2016,Julio,Países Bajos,771049
2013,Diciembre,Bélgica,768297
2008,Junio,Reino Unido,767509
2017,Julio,Suiza,760221
2012,Marzo,Suiza,759835
2015,Mayo,Bélgica,759436
2018,Enero,Estados Unidos,758739
2003,Mayo,Bélgica,758086
2016,Agosto,Países Bajos,751702
2018,Noviembre,Reino Unido,746172
2015,Febrero,Suiza,745319
2012,Febrero,Estados Unidos,737966
2011,Octubre,Reino Unido,737667
2003,Mayo,Suiza,737183
2013,Abril,Arabia Saudita,736559
2003,Abril,Arabia Saudita,735030
2003,Diciembre,Estados Unidos,731257
2004,Agosto,Alemania,731013
2018,Octubre,Reino Unido,730236
2016,Enero,Estados Unidos,728222
2004,Junio,Bélgica,728062
2015,Marzo,Reino Unido,726608
2004,Junio,Arabia Saudita,726311
2006,Septiembre,Estados Unidos,724653
2015,Marzo,Bélgica,724361
2009,Abril,Arabia Saudita,719029
2004,Abril,Reino Unido,716745
2011,Octubre,Alemania,715664
2011,Agosto,Bélgica,715395
2013,Marzo,Reino Unido,715173
2004,Mayo,Estados Unidos,714797
2009,Marzo,Suiza,714180
2014,Febrero,Bélgica,713702
2003,Junio,Arabia Saudita,712221
2009,Julio,Arabia Saudita,710929
2012,Mayo,Suiza,707571
2018,Octubre,Estados Unidos,706885
2015,Julio,Suiza,706795
2003,Marzo,Arabia Saudita,705840
2014,Febrero,Arabia Saudita,705621
2012,Abril,Reino Unido,702311
2018,Septiembre,Reino Unido,699632
2012,Noviembre,Reino Unido,699282
2005,Agosto,Arabia Saudita,698987
2009,Abril,Reino Unido,697646
2004,Marzo,Bélgica,696851
2002,Mayo,Suiza,693817
2006,Julio,Arabia Saudita,690565
2014,Octubre,Alemania,690332
2003,Octubre,Alemania,689902
2004,Marzo,Arabia Saudita,688092
2004,Mayo,Arabia Saudita,686856
2014,Noviembre,Bélgica,682539
2014,Marzo,Suiza,679496
2006,Agosto,Arabia Saudita,675557
2014,Septiembre,Bélgica,675152
2006,Febrero,Alemania,674810
2008,Mayo,Bélgica,671924
2014,Julio,Países Bajos,667319
2016,Febrero,Estados Unidos,666687
2006,Febrero,Arabia Saudita,666438
2010,Mayo,Bélgica,666317
2006,Enero,Alemania,663598
2009,Marzo,Reino Unido,660904
2006,Abril,Arabia Saudita,660555
2006,Mayo,Arabia Saudita,655198
2013,Julio,Bélgica,650370
2008,Junio,Estados Unidos,649725
2016,Septiembre,Bélgica,646811
2014,Junio,Suiza,644795
2015,Noviembre,Alemania,644200
2018,Mayo,Bélgica,644132
2005,Julio,Suiza,642947
2005,Julio,Reino Unido,640802
2012,Junio,Suiza,640311
2010,Junio,Bélgica,638475
2013,Noviembre,Reino Unido,638184
2017,Marzo,Bélgica,638034
2016,Mayo,Arabia Saudita,637199
2015,Febrero,Bélgica,633989
2017,Agosto,Arabia Saudita,633488
2015,Octubre,Estados Unidos,629165
2002,Mayo,Bélgica,627862
2012,Enero,Reino Unido,627122
2015,Abril,Australia,625968
2010,Julio,Arabia Saudita,625641
2010,Marzo,Suiza,624838
2004,Agosto,Reino Unido,622496
2008,Mayo,Suiza,620060
2009,Agosto,Reino Unido,620024
2014,Mayo,Japón,619144
2014,Enero,Arabia Saudita,618848
2004,Febrero,Estados Unidos,616625
2016,Diciembre,Reino Unido,611561
2010,Septiembre,Francia,608475
2016,Marzo,Alemania,608284
2005,Mayo,Suiza,606622
2018,Julio,Arabia Saudita,603742
2009,Octubre,Reino Unido,598334
2017,Septiembre,Suiza,597648
2007,Julio,Arabia Saudita,595553
2018,Julio,Países Bajos,594000
2018,Diciembre,Alemania,590094
2015,Junio,Japón,588723
2017,Junio,Japón,581467
2015,Septiembre,Bélgica,581269
2004,Enero,Estados Unidos,578945
2004,Mayo,Bélgica,570286
2005,Mayo,Estados Unidos,568773
2006,Junio,Suiza,567075
2017,Junio,España,566850
2006,Noviembre,Estados Unidos,566159
2012,Agosto,Reino Unido,566128
2012,Octubre,Alemania,565047
2012,Diciembre,Reino Unido,564342
2002,Abril,Suiza,563515
2014,Junio,Francia,562133
2017,Abril,Arabia Saudita,559146
2006,Marzo,Arabia Saudita,559053
2011,Octubre,Francia,558600
2008,Abril,Bélgica,556165
2013,Agosto,Suiza,554120
2006,Julio,Suiza,553764
2004,Julio,Estados Unidos,551667
2017,Noviembre,Estados Unidos,547746
2007,Mayo,Suiza,547406
2006,Junio,Estados Unidos,546668
2002,Noviembre,Bélgica,544505
2017,Septiembre,Bélgica,543026
2008,Febrero,Arabia Saudita,542447
2011,Julio,Japón,540480
2003,Agosto,Reino Unido,537903
2018,Marzo,Suiza,536678
2007,Abril,Bélgica,536451
2007,Agosto,Estados Unidos,535933
2011,Mayo,Ucrania,534528
2013,Julio,Estados Unidos,533860
2013,Abril,Suiza,523827
2003,Febrero,Arabia Saudita,523819
2006,Septiembre,Alemania,520842
2016,Octubre,Bélgica,517979
2013,Junio,Suiza,517506
2011,Julio,Arabia Saudita,512369
2012,Abril,Bélgica,511545
2018,Agosto,Arabia Saudita,510220
2006,Octubre,Estados Unidos,509914
2015,Enero,Reino Unido,503242
2016,Abril,Bélgica,502496
2017,Julio,Japón,500190
2003,Julio,Arabia Saudita,500160
2003,Enero,Estados Unidos,499580
2007,Julio,Suiza,495984
2010,Septiembre,Estados Unidos,495913
2009,Noviembre,Estados Unidos,495576
2017,Diciembre,Reino Unido,494976
2010,Julio,Francia,494025
2015,Diciembre,Estados Unidos,491820
2015,Septiembre,Arabia Saudita,491767
2018,Junio,Japón,488067
2007,Agosto,Arabia Saudita,485951
2013,Diciembre,Arabia Saudita,483965
2011,Mayo,Suiza,483244
2014,Diciembre,Suiza,482957
2002,Junio,Suiza,479242
2018,Julio,Bélgica,475728
2018,Diciembre,Estados Unidos,474344
2007,Octubre,Alemania,473134
2008,Julio,Bélgica,471813
2009,Enero,Reino Unido,471763
2015,Septiembre,Australia,471744
2015,Mayo,Australia,469287
2004,Abril,Suiza,467554
2013,Abril,Bélgica,465200
2009,Diciembre,Reino Unido,464973
2014,Julio,España,463937
2006,Marzo,Reino Unido,463807
2017,Agosto,Suiza,459045
2005,Septiembre,Arabia Saudita,458639
2008,Febrero,Suiza,455999
2008,Diciembre,Bélgica,454627
2007,Abril,Reino Unido,452686
2009,Junio,Estados Unidos,451930
2007,Marzo,Bélgica,451589
2018,Agosto,Japón,450629
2010,Noviembre,Francia,446818
2007,Septiembre,Estados Unidos,446771
2010,Diciembre,Reino Unido,446359
2006,Agosto,Estados Unidos,444938
2008,Febrero,Reino Unido,444746
2007,Marzo,Reino Unido,442607
2010,Octubre,Estados Unidos,441922
2011,Diciembre,Suiza,438111
2002,Junio,Bélgica,435144
2017,Abril,Bélgica,434789
2017,Octubre,Bélgica,434508
2016,Julio,Bélgica,434260
2008,Junio,Bélgica,431707
2018,Mayo,Japón,428919
2015,Septiembre,España,427430
2017,Julio,España,426880
2003,Abril,Reino Unido,426633
2008,Enero,Reino Unido,425565
2008,Agosto,Estados Unidos,425400
2007,Marzo,Estados Unidos,425001
2015,Mayo,Francia,424858
2018,Septiembre,Bélgica,422931
2018,Diciembre,Reino Unido,422037
2003,Agosto,Estados Unidos,418759
2016,Mayo,Reino Unido,416339
2013,Agosto,Estados Unidos,414004
2010,Julio,Bélgica,413178
2008,Agosto,Arabia Saudita,412236
2009,Febrero,Reino Unido,412005
2015,Agosto,Japón,411531
2016,Diciembre,Bélgica,410400
2008,Septiembre,Reino Unido,409495
2006,Septiembre,Arabia Saudita,409366
2015,Septiembre,Suiza,409247
2015,Enero,Bélgica,407900
2007,Abril,Estados Unidos,406055
2008,Noviembre,Suiza,405600
2004,Junio,Países Bajos,401285
2010,Septiembre,Suiza,400656
2004,Diciembre,Estados Unidos,397302
2005,Junio,Arabia Saudita,396840
2017,Diciembre,Estados Unidos,394917
2017,Enero,Portugal,394200
2017,Septiembre,Arabia Saudita,391996
2002,Octubre,Alemania,389599
2014,Julio,Japón,389490
2011,Enero,Suiza,388893
2010,Abril,Suiza,388360
2015,Julio,Países Bajos,388176
2009,Febrero,Suiza,388119
2010,Abril,Bélgica,386644
2015,Noviembre,Reino Unido,386187
2017,Febrero,Suiza,385202
2012,Mayo,España,385188
2018,Agosto,Países Bajos,380108
2012,Febrero,Suiza,377648
2017,Octubre,Reino Unido,376244
2012,Marzo,España,374879
2012,Junio,Francia,374636
2004,Enero,Reino Unido,373122
2002,Mayo,Arabia Saudita,372289
2013,Marzo,Suiza,369715
2004,Enero,Bélgica,368527
2002,Abril,Bélgica,368397
2003,Agosto,Arabia Saudita,368064
2004,Abril,Estados Unidos,367567
2005,Octubre,Arabia Saudita,366554
2012,Febrero,Arabia Saudita,365998
2018,Agosto,Francia,365730
2006,Diciembre,Estados Unidos,363542
2008,Agosto,Bélgica,363353
2017,Junio,Bélgica,362482
2016,Enero,España,360972
2013,Agosto,Bélgica,356451
